best_epoch,best_test_loss,final_train_loss,final_test_loss,final_accuracy_train,final_accuracy_test,num_epochs,out_channels1,out_channels2,out_channels3,out_channels4,h1,h2,h3,eta,batch_size,dropout_rate,weight_decay,stride,padding,kernel_size,pool_kernel_size,pool_stride
5,0.8907648399472237,0.21072778511047363,0.9467336945235729,0.937875,0.7116699,10,128,128,256,128,128,128,128,0.0001,128,0,0,1,1,3,3,2
6,0.8744065593928099,0.15023729997873306,1.0351722035557032,0.9576875,0.70751953,11,128,128,256,128,128,128,256,0.0001,128,0,0,1,1,3,3,2
5,0.8977752756327391,0.19490956997871398,0.9968188535422087,0.942125,0.69873047,10,128,128,256,128,128,128,512,0.0001,128,0,0,1,1,3,3,2
6,0.8867722153663635,0.12723383781313896,1.1411658190190792,0.9614375,0.70874023,11,128,128,256,128,128,128,1024,0.0001,128,0,0,1,1,3,3,2
7,0.8994936104863882,0.09705899342894554,1.048697741702199,0.9778125,0.70581055,12,128,128,256,128,128,256,128,0.0001,128,0,0,1,1,3,3,2
6,0.8913473542779684,0.14531891065835953,1.0577106699347496,0.957875,0.70288086,11,128,128,256,128,128,256,256,0.0001,128,0,0,1,1,3,3,2
5,0.9367271438241005,0.1775650206208229,1.0631277523934841,0.9435625,0.7019043,10,128,128,256,128,128,256,512,0.0001,128,0,0,1,1,3,3,2
6,0.9057882521301508,0.11877743619680405,1.0803189929574728,0.9636875,0.7104492,11,128,128,256,128,128,256,1024,0.0001,128,0,0,1,1,3,3,2
5,0.8851208314299583,0.16548129248619078,1.0537432376295328,0.952,0.7036133,10,128,128,256,128,128,512,128,0.0001,128,0,0,1,1,3,3,2
5,0.9116412382572889,0.15840877497196199,1.0646921694278717,0.9518125,0.69750977,10,128,128,256,128,128,512,256,0.0001,128,0,0,1,1,3,3,2
6,0.9112307094037533,0.13528522372245788,1.0882304348051548,0.957625,0.70458984,11,128,128,256,128,128,512,512,0.0001,128,0,0,1,1,3,3,2
4,0.9299632105976343,0.21917396342754364,1.0731877107173204,0.92725,0.6984863,9,128,128,256,128,128,512,1024,0.0001,128,0,0,1,1,3,3,2
5,0.9297532867640257,0.13932598787546158,1.0887157414108515,0.9595,0.70166016,10,128,128,256,128,128,1024,128,0.0001,128,0,0,1,1,3,3,2
6,0.9422567076981068,0.10310086959600448,1.1548124197870493,0.9711875,0.70996094,11,128,128,256,128,128,1024,256,0.0001,128,0,0,1,1,3,3,2
5,0.8858550135046244,0.1482080992460251,1.103980341926217,0.9533125,0.70581055,10,128,128,256,128,128,1024,512,0.0001,128,0,0,1,1,3,3,2
5,0.91931919939816,0.13209765082597733,1.278533672913909,0.95687497,0.6855469,10,128,128,256,128,128,1024,1024,0.0001,128,0,0,1,1,3,3,2
5,0.9054917134344578,0.21072042286396026,0.9791443217545748,0.9368125,0.7092285,10,128,128,256,128,256,128,128,0.0001,128,0,0,1,1,3,3,2
5,0.8914207108318806,0.18790413135290146,0.9897430017590523,0.9441875,0.71362305,10,128,128,256,128,256,128,256,0.0001,128,0,0,1,1,3,3,2
5,0.8901380319148302,0.19727888590097428,1.0898168068379164,0.9374375,0.6958008,10,128,128,256,128,256,128,512,0.0001,128,0,0,1,1,3,3,2
5,0.8883192092180252,0.1649349539279938,1.0778156332671642,0.9485,0.7067871,10,128,128,256,128,256,128,1024,0.0001,128,0,0,1,1,3,3,2
