best_epoch,best_test_loss,final_train_loss,final_test_loss,final_accuracy_train,final_accuracy_test,num_epochs,out_channels1,out_channels2,out_channels3,out_channels4,h1,h2,h3,eta,batch_size,dropout_rate,weight_decay,stride,padding,kernel_size,pool_kernel_size,pool_stride
8,0.7714725297594828,0.21680460669100285,0.9347306319645473,0.7831953933089971,0.06526936803545269,13,128,128,128,128,128,128,1024,0.001,64,0,0,1,1,3,3,2
5,0.8916827534872388,0.27542496782541276,1.026648563998086,0.7245750321745872,-0.026648563998086017,10,128,128,128,128,128,128,1024,0.0001,64,0,0,1,1,3,3,2
6,0.8095845971256495,0.27680837839841843,0.9187103323638439,0.7231916216015816,0.08128966763615608,11,128,128,128,128,128,128,1024,0.001,128,0,0,1,1,3,3,2
8,0.9413031674921513,0.1667493166923523,1.2152377162128687,0.8332506833076477,-0.2152377162128687,13,128,128,128,128,128,128,1024,0.0001,128,0,0,1,1,3,3,2
9,0.8246011156884451,0.17280321084707975,0.995911198949057,0.8271967891529203,0.004088801050943003,14,128,128,128,128,128,256,128,0.001,64,0,0,1,1,3,3,2
5,0.9185359468535771,0.2874027804136276,1.051078010173071,0.7125972195863723,-0.05107801017307101,10,128,128,128,128,128,256,128,0.0001,64,0,0,1,1,3,3,2
7,0.8062666673213243,0.21454407119750976,0.9578577633947134,0.7854559288024903,0.0421422366052866,12,128,128,128,128,128,256,128,0.001,128,0,0,1,1,3,3,2
7,0.90279346331954,0.23441317021846772,1.0181962084025145,0.7655868297815323,-0.018196208402514458,12,128,128,128,128,128,256,128,0.0001,128,0,0,1,1,3,3,2
8,0.83257319482546,0.2150985134243965,1.0829343072005682,0.7849014865756034,-0.08293430720056816,13,128,128,128,128,128,256,256,0.001,64,0,0,1,1,3,3,2
5,0.9093507045791263,0.254941364467144,1.024553808901045,0.745058635532856,-0.024553808901045082,10,128,128,128,128,128,256,256,0.0001,64,0,0,1,1,3,3,2
7,0.7977714538574219,0.20436961704492568,0.9154691733419895,0.7956303829550744,0.08453082665801048,12,128,128,128,128,128,256,256,0.001,128,0,0,1,1,3,3,2
8,0.9207660593092442,0.1757460119128227,1.1623841654509306,0.8242539880871773,-0.1623841654509306,13,128,128,128,128,128,256,256,0.0001,128,0,0,1,1,3,3,2
5,0.8071189059151543,0.3153533329665661,0.869704440472618,0.6846466670334339,0.13029555952738203,10,128,128,128,128,128,256,512,0.001,64,0,0,1,1,3,3,2
6,0.9056021656308856,0.21397311812639236,1.1291741832854256,0.7860268818736076,-0.12917418328542563,11,128,128,128,128,128,256,512,0.0001,64,0,0,1,1,3,3,2
6,0.8190901260823011,0.26248371875286103,0.8909363392740488,0.737516281247139,0.1090636607259512,11,128,128,128,128,128,256,512,0.001,128,0,0,1,1,3,3,2
6,0.9079444911330938,0.23490832614898682,1.032130803912878,0.7650916738510132,-0.032130803912878036,11,128,128,128,128,128,256,512,0.0001,128,0,0,1,1,3,3,2
6,0.8171716247286115,0.3027090711593628,0.845458241682204,0.6972909288406373,0.15454175831779604,11,128,128,128,128,128,256,1024,0.001,64,0,0,1,1,3,3,2
7,0.9228662914699979,0.16774113507568836,1.1188026146283225,0.8322588649243117,-0.11880261462832253,12,128,128,128,128,128,256,1024,0.0001,64,0,0,1,1,3,3,2
7,0.8517669197171926,0.22261422711610795,0.9546630624681711,0.777385772883892,0.04533693753182888,12,128,128,128,128,128,256,1024,0.001,128,0,0,1,1,3,3,2
6,0.9159194901585579,0.2153012228012085,1.135081458836794,0.7846987771987914,-0.1350814588367939,11,128,128,128,128,128,256,1024,0.0001,128,0,0,1,1,3,3,2
6,0.8462260441174583,0.2718922303020954,0.9243814642467196,0.7281077696979046,0.07561853575328037,11,128,128,128,128,128,512,128,0.001,64,0,0,1,1,3,3,2
7,0.9122245832095071,0.1822734153866768,1.0879612555579534,0.8177265846133233,-0.08796125555795342,12,128,128,128,128,128,512,128,0.0001,64,0,0,1,1,3,3,2
9,0.8254080135375261,0.1786001184284687,0.9428500141948462,0.8213998815715313,0.05714998580515385,14,128,128,128,128,128,512,128,0.001,128,0,0,1,1,3,3,2
5,0.9158384446054697,0.2783927600383759,0.9804724995046854,0.7216072399616241,0.019527500495314598,10,128,128,128,128,128,512,128,0.0001,128,0,0,1,1,3,3,2
