best_epoch,best_test_loss,final_train_loss,final_test_loss,final_accuracy_train,final_accuracy_test,num_epochs,early_stopping,out_channels1,out_channels2,out_channels3,h1,h2,batch_size
8,0.879575927106161,0.3102761646211147,0.9581254739609976,0.8905625,0.72842264,13,True,64,256,256,256,128,64
5,0.8798059485852718,0.3538905234336853,0.9234714452177286,0.87224996,0.7150879,10,True,32,256,128,512,256,128
6,0.8798565185070037,0.3949996837228536,0.97610706114769,0.8574375,0.71075,11,True,64,256,128,256,512,32
8,0.8800672721117735,0.2776410408020019,0.9958635400980712,0.9004375,0.7253418,13,True,128,256,128,256,256,128
5,0.8801184315234423,0.3982262761592865,0.8843215443193913,0.8585,0.72143555,10,True,64,256,128,256,256,128
10,0.8802151214331388,0.2215272470116615,1.0872431173920631,0.9184375,0.72436523,15,True,128,128,256,512,128,128
10,0.8802275601774454,0.2238194037079811,1.08883585780859,0.9190625,0.73657227,15,True,128,256,256,512,512,128
9,0.8805630337446928,0.2548201689720153,1.029482265934348,0.912875,0.717041,14,True,64,128,128,256,128,128
9,0.8806492033458891,0.270510363548994,1.084350069363912,0.9026875,0.71626985,14,True,64,128,256,512,128,64
7,0.8806843888014555,0.3949833559989929,0.9640425257384776,0.85706246,0.7141113,12,True,128,256,256,128,128,128
8,0.8806928292153373,0.3296958620548248,1.0507366392347548,0.8839375,0.7167659,13,True,64,256,512,512,128,64
11,0.8807234295776912,0.2318766701221466,1.05624834034178,0.918,0.72842264,16,True,128,256,128,128,128,64
11,0.8807361365556717,0.2053997244108468,1.1796382961273193,0.929875,0.71725,16,True,128,256,512,512,128,32
9,0.8810641273619637,0.3281393209099769,0.9552671313285828,0.8845,0.7249504,14,True,128,64,256,256,128,64
6,0.8814590442925692,0.4056355464458465,0.9682685602456332,0.855,0.71240234,11,True,32,64,128,512,128,128
10,0.8819578234106302,0.2513035427331924,1.0615341626107693,0.9084375,0.7258301,15,True,128,64,128,512,512,128
