best_epoch,best_test_loss,final_train_loss,final_test_loss,final_accuracy_train,final_accuracy_test,num_epochs,early_stopping,h1,h2,batch_size,dropout_rate,weight_decay
8,1.6143866491317749,1.3151687477827072,1.6579260091781616,0.5229375,0.427,13,True,128,64,32,0.2,0.0001
8,1.5913181494152735,1.2774224529266358,1.6414751949764432,0.5488125,0.43625987,13,True,128,64,64,0.2,0.0001
9,1.5917372517287731,1.226385340690613,1.6495693624019623,0.5648125,0.43310547,14,True,128,64,128,0.2,0.0001
8,1.6409992685317993,1.3551561416387559,1.6558459012508393,0.51356244,0.42925,13,True,128,128,16,0.2,0.0001
6,1.6122158250808716,1.312208085656166,1.645032371520996,0.53243744,0.42724997,11,True,128,128,32,0.2,0.0001
8,1.5949844727440485,1.2177398900985719,1.6387710363145858,0.5676875,0.4424603,13,True,128,128,64,0.2,0.0001
7,1.578796099871397,1.2376176662445069,1.6011392548680305,0.56131244,0.4453125,12,True,128,128,128,0.2,0.0001
6,1.6443458800315858,1.3738872876167298,1.698856659412384,0.50743747,0.43124998,11,True,128,256,16,0.2,0.0001
5,1.6009243659973145,1.314978977203369,1.627121844291687,0.5290625,0.44099998,10,True,128,256,32,0.2,0.0001
7,1.5958333204662989,1.202349410057068,1.636416448487176,0.56875,0.4615575,12,True,128,256,64,0.2,0.0001
8,1.553614016622305,1.1592023816108703,1.618519239127636,0.58731246,0.4506836,13,True,128,256,128,0.2,0.0001
6,1.6442637746334077,1.3651662347316742,1.7150387444496156,0.51125,0.42474997,11,True,128,512,16,0.2,0.0001
6,1.6025572662353516,1.2511530817747116,1.6834396152496338,0.55925,0.42925,11,True,128,512,32,0.2,0.0001
5,1.581589418744284,1.2210765388011933,1.6500485775962708,0.5655625,0.4441964,10,True,128,512,64,0.2,0.0001
7,1.5467611737549305,1.1300874056816101,1.6206461526453495,0.594375,0.4543457,12,True,128,512,128,0.2,0.0001
9,1.6549620332717896,1.431043887078762,1.7127611525058746,0.48874998,0.41724998,14,True,256,32,16,0.2,0.0001
12,1.6525737342834472,1.2683787534236908,1.699980167388916,0.5496875,0.42499995,17,True,256,32,32,0.2,0.0001
10,1.6167689183401683,1.2452937049865722,1.6613659442417206,0.551375,0.43576384,15,True,256,32,64,0.2,0.0001
5,1.6203474961221218,1.3325968656539917,1.6450971961021423,0.5204375,0.4404297,10,True,256,32,128,0.2,0.0001
4,1.6668972029685973,1.4751330100893973,1.7023976640701295,0.4750625,0.42624998,9,True,256,64,16,0.2,0.0001
10,1.6150011043548584,1.2279859091043472,1.6943912115097046,0.56418747,0.43324995,15,True,256,64,32,0.2,0.0001
6,1.6005979700694009,1.2637393667697907,1.621079267017425,0.5525625,0.43551582,11,True,256,64,64,0.2,0.0001
8,1.5841894894838333,1.1752270822525024,1.6101805157959461,0.58712494,0.45751953,13,True,256,64,128,0.2,0.0001
3,1.6645160737037659,1.4721377086639404,1.7102890994548798,0.47324997,0.40949994,8,True,256,128,16,0.2,0.0001
7,1.6162493515014649,1.24682794380188,1.6392115364074706,0.55681247,0.43675,12,True,256,128,32,0.2,0.0001
7,1.5845405071500749,1.1732581090927123,1.6089162637316992,0.5806875,0.45535713,12,True,256,128,64,0.2,0.0001
8,1.557114839553833,1.0937121438980102,1.600350834429264,0.6155,0.4597168,13,True,256,128,128,0.2,0.0001
11,1.6698647904396058,1.2728741385936737,1.7503767080307007,0.54975,0.43949997,16,True,256,256,16,0.2,0.0001
4,1.6122798318862914,1.299988389134407,1.66757501411438,0.5384375,0.431,9,True,256,256,32,0.2,0.0001
5,1.5717260610489618,1.192378163099289,1.575372820808774,0.5729375,0.45932537,10,True,256,256,64,0.2,0.0001
8,1.546950250864029,1.0346203742027282,1.6549041531980038,0.63681245,0.45336914,13,True,256,256,128,0.2,0.0001
7,1.6758217227458954,1.352284231722355,1.782522143125534,0.5223125,0.42049998,12,True,256,512,16,0.2,0.0001
6,1.62454092502594,1.2062274765968324,1.6991049871444701,0.56649995,0.44449997,11,True,256,512,32,0.2,0.0001
5,1.5651900938579015,1.1603121933937073,1.6062009561629522,0.59231246,0.4647817,10,True,256,512,64,0.2,0.0001
6,1.5586550049483776,1.0518791828155518,1.6596689000725746,0.6275625,0.4477539,11,True,256,512,128,0.2,0.0001
7,1.7071907033920288,1.530266015291214,1.7361432495117188,0.4463125,0.38599998,12,True,512,32,16,0.2,0.0001
8,1.6491253805160522,1.368515527009964,1.6728359622955322,0.50537497,0.42399997,13,True,512,32,32,0.2,0.0001
11,1.627619495467534,1.2033988394737243,1.7176225847668118,0.56387496,0.4350198,16,True,512,32,64,0.2,0.0001
5,1.6213224828243256,1.3094834337234498,1.6478444673120975,0.5328125,0.43798828,10,True,512,32,128,0.2,0.0001
8,1.6764735431671143,1.4392629978060723,1.7256402451992034,0.48049998,0.41274995,13,True,512,64,16,0.2,0.0001
5,1.6318410053253174,1.374802092552185,1.649217638015747,0.50899994,0.43324995,10,True,512,64,32,0.2,0.0001
8,1.6101439604683527,1.1842572562694549,1.6624714779475378,0.5764375,0.44965273,13,True,512,64,64,0.2,0.0001
6,1.5609810836613178,1.1678901977539062,1.6353757940232754,0.58318746,0.4543457,11,True,512,64,128,0.2,0.0001
9,1.7011626470088959,1.4081852095723153,1.7188812382221221,0.49812496,0.40274996,14,True,512,128,16,0.2,0.0001
